Institution Name,State,Year,Revenue
Arkansas Tech University,Arkansas,2004,64460281
Arkansas Tech University,Arkansas,2003,51986711
Arkansas Tech University,Arkansas,2002,51350812
Athens State University,Alabama,2022,48439493
Athens State University,Alabama,2021,47991176
Athens State University,Alabama,2020,43536334
Athens State University,Alabama,2019,41596149
Athens State University,Alabama,2018,37833914
Athens State University,Alabama,2017,37510782
Athens State University,Alabama,2016,36858978
Athens State University,Alabama,2015,35696231
Athens State University,Alabama,2014,34613635
Athens State University,Alabama,2013,35349745
Athens State University,Alabama,2012,34506934
Athens State University,Alabama,2011,34701634
Athens State University,Alabama,2010,33126611
Athens State University,Alabama,2009,29537876
Athens State University,Alabama,2008,38099276
Athens State University,Alabama,2007,33004825
Athens State University,Alabama,2006,29244656
Athens State University,Alabama,2005,26987870
Athens State University,Alabama,2004,24938097
Athens State University,Alabama,2003,23119993
Athens State University,Alabama,2002,20535164
Atlanta Metropolitan State College,Georgia,2022,28508622
Atlanta Metropolitan State College,Georgia,2021,22418087
Atlanta Metropolitan State College,Georgia,2020,22702903
Atlanta Metropolitan State College,Georgia,2019,25826855
Atlanta Metropolitan State College,Georgia,2018,33212505
Atlanta Metropolitan State College,Georgia,2017,28600728
Atlanta Metropolitan State College,Georgia,2016,30612274
Atlanta Metropolitan State College,Georgia,2015,30277874
Atlanta Metropolitan State College,Georgia,2014,27025947
Atlanta Metropolitan State College,Georgia,2013,29296003
Atlanta Metropolitan State College,Georgia,2012,41068912
Atlanta Metropolitan State College,Georgia,2011,30474987
Atlanta Metropolitan State College,Georgia,2010,25598269
Atlanta Metropolitan State College,Georgia,2009,20527496
Atlanta Metropolitan State College,Georgia,2008,21360390
Atlanta Metropolitan State College,Georgia,2007,16211681
Atlanta Metropolitan State College,Georgia,2006,15634635
Atlanta Metropolitan State College,Georgia,2005,15802773
Atlanta Metropolitan State College,Georgia,2004,15198367
Atlanta Metropolitan State College,Georgia,2003,15241435
Atlanta Metropolitan State College,Georgia,2002,17746692
Auburn University,Alabama,2022,1201744560
Auburn University,Alabama,2021,1447526392
Auburn University,Alabama,2020,1242683971
Auburn University,Alabama,2019,1228397373
Auburn University,Alabama,2018,1176700366
Auburn University,Alabama,2017,1103147076
Auburn University,Alabama,2016,1069122700
Auburn University,Alabama,2015,974160311
Auburn University,Alabama,2014,921516756
Auburn University,Alabama,2013,873022275
Auburn University,Alabama,2012,870593406
Auburn University,Alabama,2011,873663517
Auburn University,Alabama,2010,828419795
Auburn University,Alabama,2009,782005214
Auburn University,Alabama,2008,817902951
Auburn University,Alabama,2007,781519520
Auburn University,Alabama,2006,661831291
Auburn University,Alabama,2005,636965065
Auburn University,Alabama,2004,618154812
Auburn University,Alabama,2003,569232701
Auburn University,Alabama,2002,524195833
Austin Community College District,Texas,2022,543864958
Austin Community College District,Texas,2021,472335024
Austin Community College District,Texas,2020,459308052
Austin Community College District,Texas,2019,438839380
Austin Community College District,Texas,2018,385796854
Austin Community College District,Texas,2017,372597204
Austin Community College District,Texas,2016,348478480
Austin Community College District,Texas,2015,317176766
